Id,Name,Birthdate,Handedness,School,Draft,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
16274,김영우,2005년 01월 14일,우투우타,서대문구-신월중-서울고,25 LG 1라운드 10순위,2025,LG,20,P,66,0,66,11,0,0,3,2,1,7,60,16,17,21.8,255,49,13,0,2,30,3,2,56,1,0,5,2.4,2.55,3.27,3.64,1.32,1.5
16280,박시원,2006년 04월 12일,우투우타,해운대-센텀중-경남고,25 LG 6라운드 60순위,2025,LG,19,P,2,0,2,1,0,0,0,0,0,0,1.1,2,2,1.15,9,0,0,0,0,5,0,0,0,0,0,0,13.5,13.5,7.76,15.92,3.75,-0.01
16281,김종운,2006년 09월 11일,우투우타,거제-동강중-창원공고,25 LG 7라운드 70순위,2025,LG,19,P,2,0,2,2,0,0,0,0,0,0,1.2,1,3,3,7,2,0,0,2,0,0,0,2,1,0,0,5.4,16.2,16.2,15.2,1.2,-0.08
16286,치리노스,1993년 12월 26일,우투우타,-,25 LG 자유선발,2025,LG,32,P,30,30,0,0,0,0,13,6,0,0,177,65,71,65.5,737,173,26,1,5,36,9,0,137,5,0,4,3.31,3.61,3.33,3.13,1.18,5.21
16288,최민석,2006년 07월 02일,우투우타,중대초-양천중-서울고,25 두산 2라운드 16순위,2025,두산,19,P,17,15,2,0,0,0,3,3,0,0,77.2,38,41,37.9,333,72,15,1,7,34,5,1,53,3,1,5,4.4,4.75,4.39,4.85,1.36,1.43
16289,홍민규,2006년 09월 11일,우투좌타,용산-대원중-야탑고,25 두산 3라운드 26순위,2025,두산,19,P,20,2,18,11,0,0,2,1,1,0,33.1,17,19,20.9,151,37,6,0,4,15,1,0,17,1,0,4,4.59,5.13,5.64,5.61,1.56,0.03
16293,양재훈,2003년 05월 01일,우투우타,수영초-사직중-개성고-동의과학대,25 두산 7라운드 66순위,2025,두산,22,P,19,0,19,8,0,0,0,0,1,0,23.1,11,11,10.5,93,19,4,0,3,8,0,0,19,0,0,0,4.24,4.24,4.05,4.51,1.16,0.35
16298,콜어빈,1994년 01월 31일,좌투좌타,-,25 두산 자유선발,2025,두산,31,P,28,28,0,0,0,0,8,12,0,0,144.2,72,80,72.45,649,142,26,3,9,79,18,1,128,8,0,6,4.48,4.98,4.51,4.59,1.53,2.57
16299,잭로그,1996년 04월 23일,좌투좌타,-,25 두산 자유선발,2025,두산,29,P,30,29,1,0,0,0,10,8,0,1,176,55,66,63.55,722,146,25,4,8,39,17,0,156,15,0,4,2.81,3.38,3.25,3.26,1.05,5.34
16301,정우주,2006년 11월 07일,우투우타,남양주-건대부중-전주고,25 한화 1라운드 2순위,2025,한화,19,P,51,2,49,15,0,0,3,0,0,3,53.2,17,18,20.75,228,34,6,1,6,21,10,0,82,4,1,3,2.85,3.02,3.48,3.28,1.02,1.23
16302,권민규,2006년 05월 13일,좌투좌타,석교초-세광중-세광고,25 한화 2라운드 12순위,2025,한화,19,P,5,0,5,2,0,0,0,0,0,0,5.1,5,5,5,28,5,1,0,1,7,0,0,4,0,0,0,8.44,8.44,8.44,8.47,2.25,-0.03
16313,폰세,1994년 04월 25일,우투우타,-,25 한화 자유선발,2025,한화,31,P,29,29,0,0,0,0,17,1,0,0,180.2,38,41,38.6,697,128,18,0,10,41,6,0,252,3,3,7,1.89,2.04,1.92,1.92,0.94,8.38
16315,신지환,2006년 04월 17일,좌투좌타,강남초-성남중-성남고,25 SSG 2라운드 18순위,2025,SSG,19,P,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.62,0,0.04
16324,화이트,1994년 12월 28일,우투우타,-,25 SSG 자유선발,2025,SSG,31,P,24,24,0,1,1,0,11,4,0,0,134.2,43,51,49.45,562,111,17,2,9,44,8,1,137,11,0,6,2.87,3.41,3.3,3.38,1.15,4.24
16325,정현우,2006년 04월 13일,좌투좌타,서대문구-충암중-덕수고,25 키움 1라운드 1순위,2025,키움,19,P,18,18,0,0,0,0,3,7,0,0,81.1,53,63,60.25,384,92,20,0,8,48,6,0,55,7,2,4,5.86,6.97,6.67,5.52,1.72,-0.26
16326,김서준,2006년 12월 22일,우투좌타,일산서구-원당중-충훈고,25 키움 1라운드 7순위,2025,키움,19,P,4,0,4,2,0,0,0,0,0,0,5.1,12,12,12,34,14,5,0,2,5,0,0,4,0,0,1,20.25,20.25,20.25,9.51,3.56,-0.46
16330,박정훈,2006년 03월 23일,좌투좌타,삼일초-매향중-비봉고,25 키움 3라운드 28순위,2025,키움,19,P,16,3,13,8,0,0,0,1,1,0,23,19,24,21.6,116,24,6,0,1,20,4,0,7,3,0,3,7.43,9.39,8.45,7.01,1.91,-0.42
16331,윤현,2006년 10월 20일,우투우타,가동초-자양중-경기고,25 키움 4라운드 31순위,2025,키움,19,P,17,3,14,0,0,0,2,1,0,0,22,21,28,29.15,125,31,4,1,2,23,5,0,15,5,0,5,8.59,11.45,11.93,7.37,2.45,-1.49
16335,정세영,2006년 09월 23일,좌투좌타,서울학동초-언북중-경기상고,25 키움 8라운드 71순위,2025,키움,19,P,4,1,3,1,0,0,0,1,0,0,2.2,5,6,6,22,9,2,0,0,4,0,0,2,1,0,1,16.88,20.25,20.25,6.84,4.88,-0.28
16336,임진묵,2006년 04월 23일,우투우타,상명중-경기상고,25 키움 9라운드 81순위,2025,키움,19,P,4,0,4,2,0,0,0,0,0,0,3.2,10,11,9.6,28,10,2,1,0,5,1,0,3,1,0,1,24.55,27,23.56,7.11,4.09,-0.55
16339,로젠버그,1998년 07월 09일,좌투좌타,-,25 키움 자유선발,2025,키움,27,P,13,13,0,0,0,0,4,4,0,0,75.1,27,33,31.1,320,63,13,2,5,25,4,0,80,7,0,2,3.23,3.94,3.72,3.29,1.17,1.79
16340,김태훈,2006년 10월 26일,우투우타,부평구-동인천중-소래고,25 NC 2라운드 17순위,2025,NC,19,P,18,0,18,8,0,0,0,0,0,0,19,11,15,17.05,94,17,2,0,4,16,1,0,9,4,0,5,5.21,7.11,8.08,8.1,1.74,-0.27
16349,라일리,1996년 07월 09일,우투우타,-,25 NC 자유선발,2025,NC,29,P,30,30,0,0,0,0,17,7,0,0,172,66,76,72.9,709,136,25,2,18,56,3,0,216,15,0,5,3.45,3.98,3.81,3.12,1.12,4.34
16350,로건,1997년 05월 23일,좌투좌타,-,25 NC 자유선발,2025,NC,28,P,32,31,1,0,0,0,7,12,0,0,173,87,98,94.05,770,180,30,2,18,67,10,3,149,14,0,6,4.53,5.1,4.89,4.39,1.43,2.41
16351,김동현,2006년 01월 21일,우투우타,고양덕양-잠신중-서울고,25 KT 1라운드 9순위,2025,KT,19,P,3,0,3,2,0,0,0,0,0,0,3.1,5,5,5,19,7,0,0,2,3,0,0,4,0,0,3,13.5,13.5,13.5,10.94,3,-0.12
16352,박건우,2006년 11월 28일,우투우타,성동구-충암중-충암고,25 KT 2라운드 19순위,2025,KT,19,P,6,0,6,4,0,0,0,0,0,0,6.2,2,2,2,28,4,0,0,1,4,0,0,9,0,0,0,2.7,2.7,2.7,4.25,1.2,0.17
16353,김재원,2006년 08월 21일,우투우타,서울청구초-홍은중-장충고,25 KT 3라운드 29순위,2025,KT,19,P,4,0,4,3,0,0,0,0,0,0,4.1,5,5,5.2,24,3,1,0,0,8,1,0,4,0,0,3,10.38,10.38,10.8,8.26,2.54,-0.09
16365,김한중,2004년 11월 03일,우투우타,고명초-덕수중-경기상고-여주대,25 두산 육성선수,2025,두산,21,P,2,0,2,2,0,0,0,0,0,0,2,0,1,1,8,1,1,0,0,0,0,0,0,1,0,0,0,4.5,4.5,3.92,0.5,0.02
16384,이준우,2001년 03월 02일,우투우타,해운대-센텀중-경남고,25 키움 육성선수,2025,키움,24,P,31,0,31,4,0,0,1,4,0,3,23,22,23,26.15,118,37,7,1,6,12,1,0,22,2,0,0,8.61,9,10.23,5.92,2.13,-1.14
16385,손힘찬,2002년 07월 17일,우투우타,수원영통-현도중-세광고-동아대,25 키움 육성선수,2025,키움,23,P,4,0,4,2,0,0,0,0,0,0,4,5,5,4.65,22,5,2,0,0,4,1,0,4,0,0,1,11.25,11.25,10.46,5.42,2.25,-0.16
16391,감보아,1997년 01월 17일,좌투양타,-,25 롯데 자유선발,2025,롯데,28,P,19,19,0,0,0,0,7,8,0,0,108,43,54,52.45,475,97,16,0,6,49,4,0,117,14,0,5,3.58,4.5,4.37,3.44,1.35,2.35
